Date,Time (GMT),Predicted (m),Verified (m),Preliminary (m),Forecast Guidance(m)
2017/01/01,00:00,-0.291,-0.586,-,-
2017/01/01,01:00,-0.101,-0.392,-,-
2017/01/01,02:00,0.084,-0.19,-,-
2017/01/01,03:00,0.224,-0.023,-,-
2017/01/01,04:00,0.268,0.031,-,-
2017/01/01,05:00,0.197,-0.053,-,-
2017/01/01,06:00,0.035,-0.196,-,-
2017/01/01,07:00,-0.166,-0.35,-,-
2017/01/01,08:00,-0.359,-0.534,-,-
2017/01/01,09:00,-0.502,-0.693,-,-
2017/01/01,10:00,-0.541,-0.745,-,-
2017/01/01,11:00,-0.45,-0.63,-,-
2017/01/01,12:00,-0.27,-0.425,-,-
2017/01/01,13:00,-0.06,-0.262,-,-
2017/01/01,14:00,0.146,-0.05,-,-
2017/01/01,15:00,0.315,0.193,-,-
2017/01/01,16:00,0.396,0.298,-,-
2017/01/01,17:00,0.356,0.249,-,-
2017/01/01,18:00,0.208,0.096,-,-
2017/01/01,19:00,-0.005,-0.077,-,-
2017/01/01,20:00,-0.231,-0.292,-,-
2017/01/01,21:00,-0.427,-0.52,-,-
2017/01/01,22:00,-0.541,-0.616,-,-
2017/01/01,23:00,-0.529,-0.576,-,-
2017/01/02,00:00,-0.406,-0.467,-,-
2017/01/02,01:00,-0.228,-0.326,-,-
2017/01/02,02:00,-0.035,-0.127,-,-
2017/01/02,03:00,0.143,0.109,-,-
2017/01/02,04:00,0.256,0.253,-,-
2017/01/02,05:00,0.262,0.256,-,-
2017/01/02,06:00,0.159,0.141,-,-
2017/01/02,07:00,-0.019,-0.025,-,-
2017/01/02,08:00,-0.221,-0.193,-,-
2017/01/02,09:00,-0.401,-0.375,-,-
2017/01/02,10:00,-0.514,-0.487,-,-
2017/01/02,11:00,-0.515,-0.436,-,-
2017/01/02,12:00,-0.4,-0.304,-,-
2017/01/02,13:00,-0.215,-0.134,-,-
2017/01/02,14:00,-0.008,0.09,-,-
2017/01/02,15:00,0.19,0.345,-,-
2017/01/02,16:00,0.336,0.523,-,-
2017/01/02,17:00,0.379,0.564,-,-
2017/01/02,18:00,0.304,0.445,-,-
2017/01/02,19:00,0.132,0.265,-,-
2017/01/02,20:00,-0.089,0.053,-,-
2017/01/02,21:00,-0.307,-0.144,-,-
2017/01/02,22:00,-0.474,-0.295,-,-
2017/01/02,23:00,-0.547,-0.36,-,-
2017/01/03,00:00,-0.501,-0.303,-,-
2017/01/03,01:00,-0.359,-0.167,-,-
2017/01/03,02:00,-0.172,0.011,-,-
2017/01/03,03:00,0.024,0.195,-,-
2017/01/03,04:00,0.191,0.428,-,-
2017/01/03,05:00,0.276,0.542,-,-
2017/01/03,06:00,0.252,0.537,-,-
2017/01/03,07:00,0.127,0.413,-,-
2017/01/03,08:00,-0.062,0.249,-,-
2017/01/03,09:00,-0.259,0.09,-,-
2017/01/03,10:00,-0.418,-0.066,-,-
