Date,Time (GMT),Wind Speed (m/s),Wind Dir (deg),Wind Gust (m/s),Air Temp (C),Baro (mb),Humidity (%)
2017/01/01,00:00,2.6,212,3.7,7.9,1020.3,-
2017/01/01,01:00,3.7,201,5.6,8.2,1019.2,-
2017/01/01,02:00,-,-,-,-,-,-
2017/01/01,03:00,-,-,-,-,-,-
2017/01/01,04:00,-,-,-,-,-,-
2017/01/01,05:00,4.6,225,7.3,9.7,1018.4,-
2017/01/01,06:00,4.1,233,6.1,9.6,1018.4,-
2017/01/01,07:00,-,-,-,-,-,-
2017/01/01,08:00,3.4,256,4.9,9.3,1019.8,-
2017/01/01,09:00,2.9,246,4.1,9.3,1019.7,-
2017/01/01,10:00,3.2,278,4.8,9.9,1019.2,-
2017/01/01,11:00,-,-,-,-,-,-
2017/01/01,12:00,-,-,-,-,-,-
2017/01/01,13:00,3,235,5.2,9.2,1022,-
2017/01/01,14:00,4.1,250,5,8.9,1023,-
2017/01/01,15:00,1.8,244,2.5,7.3,1023.8,-
2017/01/01,16:00,-,-,-,-,-,-
2017/01/01,17:00,-,-,-,-,-,-
2017/01/01,18:00,2.7,264,3.7,10.8,1022.7,-
2017/01/01,19:00,-,-,-,-,-,-
2017/01/01,20:00,-,-,-,-,-,-
2017/01/01,21:00,-,-,-,-,-,-
2017/01/01,22:00,0.1,105,0.5,12.3,1024.9,-
2017/01/01,23:00,-,-,-,-,-,-
2017/01/02,00:00,1.4,113,2.8,9.7,1026,-
2017/01/02,01:00,1.8,97,2.8,9.8,1026.8,-
2017/01/02,02:00,2.1,105,3.5,9.7,1026.6,-
2017/01/02,03:00,2,175,2.7,9.8,1027.2,-
2017/01/02,04:00,0.6,119,1.2,9.7,1027.7,-
2017/01/02,05:00,-,-,-,-,-,-
2017/01/02,06:00,1.1,118,1.9,9.3,1026.3,-
2017/01/02,07:00,1.2,119,2,9.2,1026.1,-
2017/01/02,08:00,2,94,3,9.5,1025.7,-
2017/01/02,09:00,0.7,31,1.3,9.7,1025.4,-
2017/01/02,10:00,3.1,44,4.3,10.1,1024.4,-
2017/01/02,11:00,1,17,2.2,10.7,1024.2,-
2017/01/02,12:00,-,-,-,-,-,-
2017/01/02,13:00,1.4,121,2.4,11.7,1023.8,-
2017/01/02,14:00,1.3,113,2.3,12.9,1023.8,-
2017/01/02,15:00,-,-,-,-,-,-
2017/01/02,16:00,1.7,23,2.5,11.2,1023.3,-
2017/01/02,17:00,-,-,-,-,-,-
2017/01/02,18:00,1.9,339,2.8,11.3,1021.5,-
2017/01/02,19:00,1.3,7,1.8,11.3,1020.6,-
2017/01/02,20:00,1.6,351,2.8,10.8,1020.5,-
2017/01/02,21:00,-,-,-,-,-,-
2017/01/02,22:00,-,-,-,-,-,-
2017/01/02,23:00,-,-,-,-,-,-
2017/01/03,00:00,1.8,21,3,10,1021.2,-
2017/01/03,01:00,3.9,11,5.2,9.6,1021.2,-
2017/01/03,02:00,2.3,346,3.5,9.4,1021.6,-
2017/01/03,03:00,-,-,-,-,-,-
2017/01/03,04:00,-,-,-,-,-,-
2017/01/03,05:00,-,-,-,-,-,-
2017/01/03,06:00,-,-,-,-,-,-
2017/01/03,07:00,-,-,-,-,-,-
2017/01/03,08:00,2.7,14,4.3,8.1,1017.6,-
2017/01/03,09:00,2.2,32,3.2,8,1016.4,-
2017/01/03,10:00,-,-,-,-,-,-
2017/01/03,11:00,2.1,57,3.2,8.1,1014,-
